Date, Open, High, Low, Close, Volume 
2000-01-04, 262.500000 , 263.675995 ,253.953003, 263.372986,3595904 
2000-01-14, 191.391006 , 192.141006 ,175.046997, 190.255997,8020032 
2000-03-06, 373.114014 , 373.260986 ,330.000000, 373.260986,692896 
2000-03-30, 309.375000 , 309.375000 ,293.125000, 304.553009,3829824 
2000-04-26, 241.964005 , 241.966003 ,239.093994, 241.966003,2165024 
2000-05-18, 217.188004 , 218.593994 ,211.000000, 215.557999,8164864 
2000-07-12, 258.593994 , 262.468994 ,252.811996, 261.298004,14592416 
2000-10-06, 233.750000 , 236.712006 ,226.287994, 235.442001,33121952 
2001-02-12, 200.061996 , 200.061996 ,196.406006, 199.031006,13642112 
2001-02-22, 184.061996 , 184.061996 ,173.593994, 181.052994,27243456 
2001-04-04, 123.438004 , 123.438004 ,119.688004, 122.324997,10385728 
2001-05-04, 118.203003 , 120.530998 ,114.734001, 119.428001,15538432 
2001-06-22, 106.750000 , 107.750000 ,105.030998, 107.259003,14005600 
2001-07-02, 119.061996 , 119.061996 ,110.938004, 116.682999,5174592 
2001-09-20, 78.093803 , 78.428101 ,72.556297, 77.167198,26596480 
2001-11-21, 110.986000 , 111.719002 ,101.188004, 109.671997,24232768 
2002-03-08, 130.625000 , 132.938004 ,126.811996, 132.203003,33630176 
2002-08-02, 94.218803 , 94.531197 ,91.781197, 93.898399,18774944 
2002-11-21, 140.625000 , 141.994003 ,138.906006, 141.464005,39579648 
2003-02-05, 136.871994 , 138.281006 ,134.938004, 137.604996,16675424 
2003-02-28, 136.406006 , 136.406006 ,128.438995, 133.919006,33149952 
2003-03-17, 126.938004 , 127.311996 ,123.634003, 126.102997,22672544 
2003-04-22, 92.115601 , 92.312500 ,89.468803, 91.240601,30209152 
2003-07-16, 108.197998 , 108.678001 ,106.629997, 107.680000,18439616 
2003-08-25, 115.240997 , 117.188004 ,94.312500, 111.277000,35216960 
2003-10-10, 146.875000 , 148.125000 ,139.843994, 144.673004,41437216 
